dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
nyx,dark_matter_density,512x512x512,5e-3,gs5,5.0,0.000000,0.000000,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb5e-3_gs5.log
nyx,dark_matter_density,512x512x512,1e-2,gs5,5.0,0.000000,0.000000,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_dark_matter_density_eb1e-2_gs5.log
nyx,temperature,512x512x512,1e-3,gs5,5.0,0.271849,0.718744,63.893276,0.203918,68.439293,0.608581,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb1e-3_gs5.log
nyx,temperature,512x512x512,5e-3,gs5,5.0,0.000000,0.000000,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb5e-3_gs5.log
nyx,temperature,512x512x512,1e-2,gs5,5.0,0.000000,0.000000,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/nyx_temperature_eb1e-2_gs5.log
hurricane,CLOUDf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb1e-3_gs5.log
hurricane,CLOUDf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb5e-3_gs5.log
hurricane,CLOUDf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_CLOUDf48_bin_eb1e-2_gs5.log
hurricane,Pf48.bin,100x500x500,1e-3,gs5,5.0,0.121881,0.365851,64.802868,0.947586,66.860813,0.987851,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Pf48_bin_eb1e-3_gs5.log
hurricane,Pf48.bin,100x500x500,5e-3,gs5,5.0,0.131622,0.796983,50.730260,0.603833,58.574733,0.963315,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Pf48_bin_eb5e-3_gs5.log
hurricane,Pf48.bin,100x500x500,1e-2,gs5,5.0,0.116876,0.873436,44.815110,0.385721,53.946734,0.922732,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_Pf48_bin_eb1e-2_gs5.log
hurricane,PRECIPf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,74.109784,0.172587,74.109784,0.172587,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_bin_eb1e-3_gs5.log
hurricane,PRECIPf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,61.408998,0.111736,61.408998,0.111736,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_bin_eb5e-3_gs5.log
hurricane,PRECIPf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,56.063184,0.081414,56.063184,0.081414,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_PRECIPf48_bin_eb1e-2_gs5.log
hurricane,QCLOUDf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,79.147707,0.940891,79.147707,0.940891,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb1e-3_gs5.log
hurricane,QCLOUDf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,65.418675,0.930278,65.418675,0.930278,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb5e-3_gs5.log
hurricane,QCLOUDf48.bin,100x500x500,1e-2,gs5,5.0,0.000000,0.000000,59.530910,0.925183,59.530910,0.925183,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QCLOUDf48_bin_eb1e-2_gs5.log
hurricane,QGRAUPf48.bin,100x500x500,1e-3,gs5,5.0,0.000000,0.000000,78.254525,0.073380,78.254525,0.073380,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb1e-3_gs5.log
hurricane,QGRAUPf48.bin,100x500x500,5e-3,gs5,5.0,0.000000,0.000000,65.587275,0.045637,65.587275,0.045637,/home/jp/git/posterization_mitigation/script/pareto_cgeom_v2_logs/hurricane_QGRAUPf48_bin_eb5e-3_gs5.log
