dataset,field,dims,rel_eb,downsample_factor,edt_total_s,edt_round1_s,edt_round2_s,fill_sign_s,neutral_boundary_s,downsample_boundary_s,compensation_stage_s,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file,sparsity,edge_density,skipped,skip_reason,harm_rate,benefit_rate
nyx,baryon_density,512x512x512,5e-3,0,,,,,,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb5e-3_f0.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,5e-3,2,,,,,,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb5e-3_f2.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,5e-3,4,,,,,,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb5e-3_f4.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,5e-3,8,,,,,,,,88.817858,0.000615,88.817858,0.000615,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb5e-3_f8.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,1e-2,0,,,,,,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-2_f0.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,1e-2,2,,,,,,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-2_f2.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,1e-2,4,,,,,,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-2_f4.log,,,1,pre_check,,
nyx,baryon_density,512x512x512,1e-2,8,,,,,,,,86.751905,0.000363,86.751905,0.000363,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_baryon_density_eb1e-2_f8.log,,,1,pre_check,,
nyx,dark_matter_density,512x512x512,1e-3,0,,,,,,,,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-3_f0.log,0.00699309,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-3,2,,,,,,,,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-3_f2.log,0.00699309,,1,sparsity,0.000000,0.000000
