dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,harm_rms,benefit_rms,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,QCLOUDf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,79.147707,0.940891,79.147707,0.940891,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb1e-3_cgeomoff.log
hurricane,QCLOUDf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,79.147707,0.940891,79.147707,0.940891,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb1e-3_cgeomon.log
hurricane,QCLOUDf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.418675,0.930278,65.418675,0.930278,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb5e-3_cgeomoff.log
hurricane,QCLOUDf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.418675,0.930278,65.418675,0.930278,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb5e-3_cgeomon.log
hurricane,QCLOUDf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,59.530910,0.925183,59.530910,0.925183,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb1e-2_cgeomoff.log
hurricane,QCLOUDf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,59.530910,0.925183,59.530910,0.925183,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QCLOUDf48_bin_eb1e-2_cgeomon.log
hurricane,QGRAUPf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,78.254525,0.073380,78.254525,0.073380,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb1e-3_cgeomoff.log
hurricane,QGRAUPf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,78.254525,0.073380,78.254525,0.073380,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb1e-3_cgeomon.log
hurricane,QGRAUPf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.587275,0.045637,65.587275,0.045637,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb5e-3_cgeomoff.log
hurricane,QGRAUPf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.587275,0.045637,65.587275,0.045637,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb5e-3_cgeomon.log
hurricane,QGRAUPf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,60.229760,0.033109,60.229760,0.033109,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb1e-2_cgeomoff.log
hurricane,QGRAUPf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,60.229760,0.033109,60.229760,0.033109,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QGRAUPf48_bin_eb1e-2_cgeomon.log
hurricane,QICEf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,75.826787,0.943485,75.826787,0.943485,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb1e-3_cgeomoff.log
hurricane,QICEf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,75.826787,0.943485,75.826787,0.943485,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb1e-3_cgeomon.log
hurricane,QICEf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,62.554833,0.900854,62.554833,0.900854,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb5e-3_cgeomoff.log
hurricane,QICEf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,62.554833,0.900854,62.554833,0.900854,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb5e-3_cgeomon.log
